정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
옥골.옥토끼우주센터,43033,171,248,171,248,0,13
옥골.옥토끼우주센터,43561,148,86,148,86,0,7
옥골사거리,38731,304,3814,302,3814,2,137
옥골사거리,38732,224,159,224,159,0,12
옥금말,43952,101,20,86,20,15,4
옥금말,43953,12,82,12,82,0,3
옥련1동행정복지센터,38217,8824,5019,8824,5019,0,461
옥련2동행정복지센터(옥련우체국),38450,2208,147,2208,147,0,78
옥련2동행정복지센터(옥련우체국),38451,337,1660,337,1660,0,66
옥련고개,38212,1964,3831,1962,3831,2,193
옥련고개,38219,1437,1281,1437,1281,0,90
옥련동성당,38330,972,2417,972,2417,0,112
옥련사거리,38170,1006,1473,1006,1473,0,82
옥련사거리,38171,1917,2869,1917,2869,0,159
옥련여고입구,38271,1912,1052,1911,1052,1,98
옥련여고입구,38273,1935,2903,1932,2903,3,161
옥련중학교,38470,2429,4656,2401,4656,28,236
옥련지구대,38223,992,4083,988,4083,4,169
옥련초등학교,38146,4150,5116,4150,5116,0,308
옥림교회,43202,42,0,41,0,1,1
옥림교회,43716,0,84,0,84,0,2
옥림슈퍼,43205,258,13,254,13,4,9
옥림슈퍼,43720,21,88,21,88,0,3
옥림에덴,90418,8,156,8,156,0,5
옥림에덴,90419,28,6,26,6,2,1
온누리병원,42425,467,1476,464,1476,3,64
온수교차로,90231,1,116,0,116,1,3
온수리,43018,3900,1912,3886,1912,14,193
온수리,43020,2566,2990,2539,2990,27,185
온수시장,43019,63,61,62,61,1,4
온수시장,43095,5,187,4,187,1,6
올리브백화점,39359,3350,1583,3339,1583,11,164
올리브백화점,39363,1806,1876,1791,1876,15,122
올리브백화점,39364,12681,13830,12681,13830,0,883
올리브백화점,39589,16150,17532,16150,17532,0,1122
올리브백화점,39746,13427,18407,13419,18407,8,1061
올리브백화점,39747,22273,23729,22247,23729,26,1533
올림픽공원,39209,3360,4315,3345,4315,15,255
올림픽공원,39210,298,695,296,695,2,33
올림픽생활기념관,39349,5485,5978,5483,5978,2,382
옹장골,43171,4,63,4,63,0,2
옹장골,43230,89,1,89,1,0,3
옹진군청,37019,1678,2626,1678,2626,0,143
옹진군청,37020,6297,997,6295,997,2,243
완정공단입구,42409,5037,3288,5037,3288,0,277
완정사거리,42561,32355,8828,32355,8828,0,1372
완정사거리,42562,197,2124,197,2124,0,77
완정역,42673,12859,44974,12859,44974,0,1927
완정역,42674,10532,20942,10531,20942,1,1049
완정초등학교.검단도서관,42414,3285,5743,3285,5743,0,300
완정초등학교.검단도서관,42415,3635,5325,3632,5325,3,298
왕궁가든,41289,2083,2592,2080,2592,3,155
왕궁가든,41291,2002,3637,1997,3637,5,187
왕길고가,42551,880,16,880,16,0,29
왕길고가,42552,4,796,4,796,0,26
왕길동,42386,23,479,22,479,1,16
왕길동,42387,260,198,258,198,2,15
왕길동(기점),42699,661,15,661,15,0,22
왕길동종점,42594,7,527,7,527,0,17
왕길역로열파크씨티푸르지오,89564,1,1,1,1,0,0
왕길역로열파크씨티푸르지오,89565,0,22,0,22,0,0
왕리물,90098,0,5,0,5,0,0
왕리물,90099,1,0,1,0,0,0
왕산골,35490,76,198,76,198,0,9
왕산골,35491,175,65,175,65,0,8
왕산교,35632,13,6,13,6,0,0
왕산교,35633,4,17,4,17,0,0
왕산차고지,35403,788,274,788,274,0,35
왕산차고지,35720,154,103,154,103,0,8
왕산해수욕장(왕산요트경기장),35020,934,213,934,213,0,38
왕산해수욕장(왕산요트경기장),35021,335,995,334,995,1,44
외1리마을회관앞,44096,10,33,10,33,0,1
외1리마을회관앞,44186,1,0,1,0,0,0
외1리소장골,44133,15,25,15,25,0,1
외뜰,43687,10,2,10,2,0,0
외뜰,43745,5,15,4,15,1,0
외리보건지소앞,44095,17,37,17,37,0,1
외리보건지소앞,44187,1,0,1,0,0,0
외주,43181,82,5,82,5,0,2
외주,43241,7,85,7,85,0,3
외포1리,43283,11,91,11,91,0,3
외포고개,43244,45,60,45,60,0,3
외포고개,43366,5,77,5,77,0,2
외포리,43556,1822,1845,1775,1845,47,122
외포리(싱싱마트),90376,88,47,88,47,0,4
외포리(하나로마트),90387,5,184,5,184,0,6
외포리(하나로마트),90388,204,37,202,37,2,8
외포리소공원,90127,9,7,9,7,0,0
외포리소공원,90128,3,56,3,56,0,1
외포리정미소,43240,100,7,96,7,4,3
외포삼거리,43110,415,118,395,118,20,17
외포삼거리,43285,14,163,14,163,0,5
요곡,43655,103,160,93,160,10,8
요곡,43762,81,31,78,31,3,3
요골,43590,71,4,70,4,1,2
요골,43780,0,17,0,17,0,0
용갈비,40338,100,2752,100,2752,0,95
용구물길,90385,0,31,0,31,0,1
용구물길,90386,27,0,27,0,0,0
용궁사입구,35578,139,980,139,980,0,37
용궁사입구,35579,796,75,791,75,5,29
용남시장,37232,16267,13993,16258,13993,9,1008
용남시장,37236,16907,17692,16903,17692,4,1153
용담공원,38172,1305,2259,1305,2259,0,118
용담공원,38177,2493,1393,2493,1393,0,129
용담마을,38191,4703,6021,4703,6021,0,357
용담마을,38192,4920,2978,4920,2978,0,263
용담바다낚시터,44132,0,4,0,4,0,0
용담바다낚시터,44188,2,0,2,0,0,0
용당사터,43537,58,22,55,22,3,2
용당사터,43677,5,50,5,50,0,1
용유동행정복지센터,35017,72,27,72,27,0,3
용유동행정복지센터,35211,40,116,40,116,0,5
용유동행정복지센터,35411,150,347,150,347,0,16
용유동행정복지센터,35412,373,129,372,129,1,16
용유역,35433,241,1200,241,1200,0,48
용유초등학교,35022,190,39,190,39,0,7
용유초등학교,35023,87,303,86,303,1,13
용유초등학교,35409,83,530,83,530,0,20
용유초등학교삼거리,35410,425,56,425,56,0,16
용일사거리,37208,29416,22502,29413,22502,3,1730
용일사거리,37218,26989,28497,26974,28497,15,1849
용일사거리,37251,1088,1392,1088,1392,0,82
용일초등학교,37233,12366,8615,12365,8615,1,699
용일초등학교,37237,7942,15386,7939,15386,3,777
용정리 사거리,43721,1,169,1,169,0,5
용정마을회관,43370,1,63,1,63,0,2
용정마을회관,43615,255,2,253,2,2,8
용정초등학교,37297,1367,809,1367,809,0,72
용정초등학교,37299,744,1819,744,1819,0,85
용진주택,43084,277,974,275,974,2,41
용진주택,43085,469,49,468,49,1,17
용진진,43639,47,55,47,55,0,3
용진진,43678,18,8,18,8,0,0
용현2동행정복지센터,37653,1787,235,1787,235,0,67
용현2동행정복지센터,37654,358,2069,356,2069,2,80
용현3동행정복지센터.보훈병원,37221,23997,16862,23973,16862,24,1361
용현3동행정복지센터.보훈병원,37224,12146,15259,12143,15259,3,913
용현고가교,37550,147,2114,147,2114,0,75
용현고가교,37611,10508,1769,10507,1769,1,409
용현고개·용현자이크레스트,37178,8729,9431,8727,9431,2,605
용현고개·용현자이크레스트,37497,10186,8691,10184,8691,2,629
용현동농협,37117,521,2861,521,2861,0,112
용현동상우빌라,37564,2,695,2,695,0,23
용현동상우빌라,37565,861,93,856,93,5,31
용현동성원상떼빌아파트,37546,591,1099,591,1099,0,56
용현사거리,37212,3071,1995,3068,1995,3,168
용현사거리,37213,1753,4383,1744,4383,9,204
용현시장,37227,23270,27900,23268,27900,2,1705
